"var","CAP1","CAP2","r2","p","p_adj"
"Temperature_avg",0.978202980232967,-0.207650979923868,0.588603418852487,0.001,0.003
"NH4",-0.996444659026026,-0.0842498753619663,0.412237078189526,0.001,0.003
"pH_avg",0.882503705858417,0.470305442394791,0.347602742540082,0.001,0.003
"PO4",-0.973971456156149,-0.226670691958777,0.120765823624885,0.075,0.1584
"Moisture_avg",-0.803346389640364,-0.595512030316594,0.091819444450521,0.088,0.1584
"NO2",-0.641804546258149,-0.766868257526918,0.0636244600101496,0.132,0.198
"NO3",0.757443906200088,0.652900244264277,0.0246261813459883,0.424,0.502875
"Salinity",-0.413537606133225,-0.910487039069531,0.0296973217511076,0.447,0.502875
"Redox_avg",-0.230090801047751,-0.973169164777226,0.00665168584580911,0.844,0.844
