"","Df","SumOfSqs","F","Pr(>F)"
"CAP1",1,0.775690471216507,2.80676601720693,0.001
"CAP2",1,0.434719370547522,1.57299283870384,0.008
"Residual",41,11.3309442699912,NA,NA
