"","Df","SumOfSqs","F","Pr(>F)"
"CAP1",1,3.58884883993515,11.0250266184326,0.001
"CAP2",1,1.15036683673883,3.53395352149658,0.001
"CAP3",1,0.544259105810995,1.67197655753007,0.012
"Residual",97,31.5752831736201,NA,NA
