"","Df","SumOfSqs","R2","F","Pr(>F)"
"StatusGroup:Compartment",1,0.933327331538045,0.0212433523848228,2.39375734623174,0.001
"Residual",99,38.6001555118867,0.878573548571307,NA,NA
"Total",102,43.9350303394137,1,NA,NA
