"var","CAP1","CAP2","r2","p","p_adj"
"NH4",-0.517123434626568,-0.85591083259883,0.26189635905631,0.001,0.003
"Temperature_avg",0.788043715135982,0.615619284164068,0.250002192178952,0.001,0.003
"pH_avg",0.609059690400274,0.793124387173615,0.102390099740995,0.001,0.003
"Redox_avg",-0.378441824002463,0.925625078444663,0.114514896775757,0.004,0.009
"Moisture_avg",-0.593133682926846,-0.805103989666947,0.0702359686824614,0.011,0.0198
"PO4",-0.999990853853049,-0.00427693935546678,0.0694396563039691,0.023,0.0345
"NO3",0.647583930729065,0.761994129020358,0.0409144255875055,0.077,0.099
"NO2",-0.454079211675697,-0.890961317636168,0.0300555818285834,0.119,0.133875
"Salinity",-0.397899458644236,0.917429027669511,0.0249987491063294,0.149,0.149
