"","Df","SumOfSqs","R2","F","Pr(>F)"
"Compartment",1,2.23221742528507,0.0508072353208908,5.40620510223208,0.001
"Residual",101,41.7028129141286,0.949192764679109,NA,NA
"Total",102,43.9350303394137,1,NA,NA
