Dataset,Data,EcologicalStatus,SoilPortion,n,mean_Chao1,sd_Chao1,mean_Shannon,sd_Shannon,RarefactionDepth
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,40000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,40000
ITS,Rarefied_50000,DEGREST,BS,18,350.6641729396473,160.36902095525713,3.6137146236503823,0.7620321253385279,50000
ITS,Rarefied_50000,DEGREST,RZ,18,482.2315492053444,250.08851147667787,3.9767908643399665,1.075994421675825,50000
ITS,Rarefied_50000,NATURAL,BS,15,383.92973467756076,101.88116186487882,3.6612253761189115,0.7325284132211113,50000
ITS,Rarefied_50000,NATURAL,RZ,14,244.64514533085963,115.19948476009056,3.383362153260117,0.8422931596808849,50000
ITS,Raw,DEGREST,BS,31,243.07258064516128,190.556457005402,3.3353047126851103,0.7856835791939488,50000
ITS,Raw,DEGREST,RZ,26,401.93269230769226,274.9985414296984,3.892125923857344,0.9904641439003212,50000
ITS,Raw,NATURAL,BS,15,388.53333333333336,105.05159729979404,3.664176885587395,0.7345419305916129,50000
ITS,Raw,NATURAL,RZ,15,260.4,131.45439187359676,3.431438581405236,0.830354375097207,50000
