Dataset,Data,EcologicalStatus,SoilPortion,n,mean_Chao1,sd_Chao1,mean_Shannon,sd_Shannon,RarefactionDepth
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,30000
16S,Rarefied_40000,DEGREST,BS,37,1799.9909011026016,984.5844726685632,6.0866305105286,0.8712090750283321,40000
16S,Rarefied_40000,DEGREST,RZ,29,2170.6286905610054,860.7719107380303,6.207746920206325,0.6196370196926874,40000
16S,Rarefied_40000,NATURAL,BS,14,2278.2978443711836,813.854003084201,6.4540720445427056,0.5969339847706444,40000
16S,Rarefied_40000,NATURAL,RZ,13,2052.62425022539,833.0654848283409,6.259927619205386,0.7105919310312797,40000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,40000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,40000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,40000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,40000
16S,Rarefied_50000,DEGREST,BS,33,1862.3592130807556,1014.8843696053186,6.067334218383962,0.9216110355266501,50000
16S,Rarefied_50000,DEGREST,RZ,25,2346.057641558401,836.88041095427,6.251715901623629,0.6387287717847443,50000
16S,Rarefied_50000,NATURAL,BS,14,2290.7263904422625,817.437566599695,6.4639086154077035,0.6023328774428365,50000
16S,Rarefied_50000,NATURAL,RZ,13,2062.3009524414547,842.8604827596873,6.262075842142647,0.7087498280952139,50000
16S,Raw,DEGREST,BS,43,1705.918765846117,959.6696359807854,6.08339521492651,0.8238164945008347,50000
16S,Raw,DEGREST,RZ,31,2140.4183794049304,917.2486252921552,6.218966497771547,0.6105687048723338,50000
16S,Raw,NATURAL,BS,14,2297.4436050278846,821.1637332940794,6.477490689896346,0.6028443216533586,50000
16S,Raw,NATURAL,RZ,15,1906.6594464726973,902.4113895841101,6.146738808734099,0.7851039387356146,50000
