contrast,SoilPortion,estimate,SE,df,t.ratio,p.value,Metric,Data,Dataset,RarefactionDepth
DEGREST - NATURAL,RZ,141.53269230769226,65.41869954461654,81.07637816491231,2.1634898475957143,0.033447697595228955,Chao1,Raw,ITS,20000
DEGREST - NATURAL,BS,-71.28059629611167,58.75635162705956,74.82575662634235,-1.2131555878170661,0.22888624488169723,Chao1,Rarefied_20000,ITS,20000
DEGREST - NATURAL,RZ,123.8966695356149,55.53767517342287,73.07303738527392,2.23085804633941,0.028759914941689217,Chao1,Rarefied_20000,ITS,20000
DEGREST - NATURAL,BS,-0.2913278866794694,0.2669912312003081,82.09478332601607,-1.091151515987066,0.27839836536250345,Shannon,Raw,ITS,20000
DEGREST - NATURAL,RZ,0.45928524541612137,0.2715039427255429,81.02319287527754,1.6916337965684802,0.09455880740493386,Shannon,Raw,ITS,20000
DEGREST - NATURAL,BS,0.012225626014149808,0.274555932122122,74.06130472501151,0.04452872651359021,0.9646027969869548,Shannon,Rarefied_20000,ITS,20000
DEGREST - NATURAL,RZ,0.4467021130772821,0.262532525964539,73.01339881638242,1.7015115039026416,0.09310205536956011,Shannon,Rarefied_20000,ITS,20000
DEGREST - NATURAL,BS,-145.4607526881721,64.55970209514548,82.90664221840382,-2.253119948939633,0.026892266352732078,Chao1,Raw,ITS,25000
DEGREST - NATURAL,RZ,141.53269230769226,65.41869954461654,81.07637816491231,2.1634898475957143,0.033447697595228955,Chao1,Raw,ITS,25000
DEGREST - NATURAL,BS,-67.54499663570513,61.17464822811224,73.82578258550765,-1.1041337971219498,0.2731209161342265,Chao1,Rarefied_25000,ITS,25000
DEGREST - NATURAL,RZ,142.93532472202403,58.19135714974295,72.07582316827482,2.456298181089173,0.01644784731089239,Chao1,Rarefied_25000,ITS,25000
DEGREST - NATURAL,BS,-0.2913278866794694,0.2669912312003081,82.09478332601607,-1.091151515987066,0.27839836536250345,Shannon,Raw,ITS,25000
DEGREST - NATURAL,RZ,0.45928524541612137,0.2715039427255429,81.02319287527754,1.6916337965684802,0.09455880740493386,Shannon,Raw,ITS,25000
DEGREST - NATURAL,BS,0.018160714260337104,0.2754104550676421,73.11055365015483,0.0659405404775819,0.9476051484692772,Shannon,Rarefied_25000,ITS,25000
DEGREST - NATURAL,RZ,0.485986275656809,0.26519240958461227,72.01890803070471,1.8325798857442421,0.0709988015421986,Shannon,Rarefied_25000,ITS,25000
